,ID,Name,Sex,PeoplesCount,WhenPeoplesCount,Source
251,20154,Агнита,Ж,3,23.06.2016 14:13:06,myData.biz
252,20155,Агнишка,Ж,1,23.06.2016 14:13:15,myData.biz
253,20156,Агния,Ж,7000,23.06.2016 14:13:24,myData.biz
254,20157,Агният,Ж,0,23.06.2016 14:13:30,myData.biz
255,20158,Агнория,Ж,1,23.06.2016 14:13:38,myData.biz
256,20159,Агнышка,Ж,0,23.06.2016 14:13:46,myData.biz
257,20160,Аголина,Ж,0,23.06.2016 14:13:54,myData.biz
258,20161,Аголлинария,Ж,0,23.06.2016 14:14:02,myData.biz
259,20162,Агомогла,Ж,1,23.06.2016 14:14:10,myData.biz
260,20163,Агонета,Ж,0,23.06.2016 14:14:18,myData.biz
261,20164,Агонина,Ж,24,23.06.2016 14:14:27,myData.biz
262,20165,Агорпина,Ж,1,23.06.2016 14:14:35,myData.biz
263,20166,Агорпиния,Ж,0,23.06.2016 14:14:42,myData.biz
264,20167,Агота,Ж,6,23.06.2016 14:14:50,myData.biz
265,20168,Аготта,Ж,3,23.06.2016 14:14:59,myData.biz
266,20169,Агофия,Ж,0,23.06.2016 14:15:06,myData.biz
267,20170,Агофья,Ж,1,23.06.2016 14:15:14,myData.biz
268,20171,Аградина,Ж,2,23.06.2016 14:15:23,myData.biz
269,20172,Аграпина,Ж,3,23.06.2016 14:15:31,myData.biz
270,20173,Аграппина,Ж,1,23.06.2016 14:15:38,myData.biz
271,20174,Агратина,Ж,53,23.06.2016 14:15:47,myData.biz
272,20175,Аграфена,Ж,2000,23.06.2016 14:15:55,myData.biz
273,20176,Аграфения,Ж,2,23.06.2016 14:16:02,myData.biz
274,20177,Аграфина,Ж,14,23.06.2016 14:16:11,myData.biz
275,20178,Аграфиния,Ж,0,23.06.2016 14:16:18,myData.biz
276,20179,Аграфинья,Ж,2,23.06.2016 14:16:26,myData.biz
277,20180,Аграфия,Ж,1,23.06.2016 14:16:35,myData.biz
278,20181,Аграфья,Ж,2,23.06.2016 14:16:42,myData.biz
279,20182,Агрегина,Ж,0,23.06.2016 14:16:50,myData.biz
280,20183,Агренина,Ж,42,23.06.2016 14:16:59,myData.biz
281,20184,Агрепена,Ж,1,23.06.2016 14:17:06,myData.biz
282,20185,Агрепина,Ж,158,23.06.2016 14:17:15,myData.biz
283,20186,Агрепиния,Ж,0,23.06.2016 14:17:22,myData.biz
284,20187,Агреппина,Ж,31,23.06.2016 14:17:32,myData.biz
285,20188,Агрерина,Ж,2,23.06.2016 14:17:38,myData.biz
286,20189,Агретина,Ж,2,23.06.2016 14:17:47,myData.biz
287,20190,Агрефена,Ж,10,23.06.2016 14:17:57,myData.biz
288,20191,Агрефина,Ж,2,23.06.2016 14:18:02,myData.biz
289,20192,Агрефинья,Ж,0,23.06.2016 14:18:10,myData.biz
290,20193,Агрикерия,Ж,0,23.06.2016 14:18:18,myData.biz
291,20194,Агриколь,Ж,245,23.06.2016 14:18:27,myData.biz
292,20195,Агрилина,Ж,0,23.06.2016 14:18:34,myData.biz
293,20196,Агринина,Ж,0,23.06.2016 14:18:42,myData.biz
294,20197,Агринтина,Ж,0,23.06.2016 14:18:50,myData.biz
295,20198,Агрипена,Ж,2,23.06.2016 14:18:58,myData.biz
296,20199,Агрипигина,Ж,1,23.06.2016 14:19:06,myData.biz
297,20200,Агрипина,Ж,406,23.06.2016 14:19:15,myData.biz
298,20201,Агрипиния,Ж,2,23.06.2016 14:19:22,myData.biz
299,20202,Агрипинна,Ж,4,23.06.2016 14:19:30,myData.biz
300,20203,Агриппина,Ж,2000,23.06.2016 14:19:39,myData.biz
301,20204,Агриса,Ж,1,23.06.2016 14:19:46,myData.biz
302,20205,Агрифена,Ж,4,23.06.2016 14:19:55,myData.biz
303,20206,Агрифина,Ж,7,23.06.2016 14:20:05,myData.biz
304,20207,Агролина,Ж,0,23.06.2016 14:20:10,myData.biz
305,20208,Агропина,Ж,2,23.06.2016 14:20:18,myData.biz
306,20209,Агропиния,Ж,0,23.06.2016 14:20:34,myData.biz
307,20210,Агроппина,Ж,2,23.06.2016 14:20:34,myData.biz
308,20211,Агрофена,Ж,75,23.06.2016 14:20:44,myData.biz
309,20212,Агрофения,Ж,1,23.06.2016 14:20:50,myData.biz
310,20213,Агрофина,Ж,8,23.06.2016 14:20:59,myData.biz
311,20214,Агрофиния,Ж,2,23.06.2016 14:21:06,myData.biz
